right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
#8d7776,#2c2028,,#a48c8b,#d3c1c1,,,,,,,,#dcb9ab,#e7cac3,#caa396,#eadad6,#c09a91,,#ca6774,#97313e,,#f1e2de,#a17b71,,#dfc4bb,#a9786f,,spring_bright
#b9a29f,#7c6261,,#b39d9a,#675455,,#3e3334,#ad9c9f,,#2f282c,#afa8ac,,#f3e1e1,#dfc7c7,#c8adaf,#f2dddc,#dec5c4,#c1a7a9,#b83e58,#ca8193,,#dcc8c7,#583b3b,,#dcc6c4,#835560,,spring_bright
#c1a7a0,#cdb5b0,,#96817d,#3b3230,,#50413f,#998681,,#5d4740,#9d857d,,#c0a89d,#ceb4ad,#6f615c,#edd8d6,#e5ccc9,#d4b6ad,#c5828a,#a55f64,,#bb9c8e,#e4d5cf,,#dac0b9,#9e726c,,spring_bright
#8a7781,#353255,,#ccb4b3,#9f8182,,#533841,#a3838d,,,,,#faeaec,#f1dddd,#e4c9c7,#edd3d7,#bdbfcb,,#ab475e,#db9eac,,#e8d4d2,#735555,,#e3d7d9,#a67477,,spring_bright
#75553b,#a58568,,#a9876d,#c9a990,,#bba394,#70574e,,#bca392,#493528,,#e2bca6,#58311f,#a67860,#d5ad93,#e0b9a0,#c29e85,#b46061,#d68687,,#e7c9b7,#bb9884,,#d2ad99,#603c2a,,spring_bright
#6e5955,#a6918c,,#523f3c,#806761,,#301d18,#5b3b2c,,#88685c,,,#d7beb7,#ceb2ab,#c4a89e,#d3b7ac,#c6aa9a,#b69888,#8f4641,#bd8d86,,#e2ccc3,#a98374,,#c3a599,#7f574d,,spring_bright
#a08170,#d9bdaa,,#8c6b56,#ceb09a,,#583f37,#cab4aa,,#423129,#c7b1a5,,#e8c8b6,#f1d7c8,#dcbaa5,#f0d6c5,#e8c5b3,#d8b29d,#b46059,#d2958b,,#d9b39d,#774f3a,,#e0bfab,#996859,,spring_bright
#b19175,#866547,,#9d7f65,#c7aa92,,#cab5aa,#493f35,,#a78d7f,#c2afa2,,#f7dcc8,#e4c3ad,,#f7dbc0,#ae8b71,,#c5776d,#e1a492,,#f3d3b8,#c29e82,,#efd1b8,#b38367,,spring_bright
#5a4139,#8f7264,,#735750,#a5897f,,#70504d,#271917,,#71504b,#3a2322,,#e7c6b8,#d8b19e,#c49983,#d9b29e,#c1967d,#a97d67,#a75a52,#cb9d93,,#e0c6b8,#b4826a,,#d0ad9a,#865849,,spring_bright
#7b6544,#6b5031,,#a58165,#c29f83,,#413022,#291a0e,,#574031,#191108,,#ad804f,#9d7248,,#8c6f51,#836141,,#7c3e30,#b26f5c,,#e2bda1,#946641,,#8f6a4a,#d5b497,,spring_bright
